0	0.9818181818	0	0.9818181818	0
0.1	0.9763636364	0	0.9763636364	0.0054545455
0.2	0.9472727273	0.0218181818	0.9563636364	0.0236363636
0.3	0.9309090909	0.0254545455	0.9509090909	0.0272727273
0.4	0.9218181818	0.0490909091	0.9218181818	0.0490909091
0.5	0.8127272727	0.0854545455	0.8527272727	0.1163636364
0.6	0.7509090909	0.1345454545	0.7872727273	0.1618181818
0.7	0.5981818182	0.1436363636	0.7	0.2509090909
0.8	0.5454545455	0.2272727273	0.6327272727	0.3109090909
0.9	0.3745454545	0.2909090909	0.4418181818	0.3890909091
1	0	0	0.0454545455	0.0181818182
